@relation harddrive_smart_1

% Attribute list
@attribute serial {100001,100002,100003,100004,100005,100006,100007,100008,100009,100010,100011,100012,100013,100014,100015,100016,100017,100018,100019,100020,100021,100022,100023,100024,100025,100026,100027,100028,100029,100030,100031,100032,100033,100034,100035,100036,100037,100038,100039,100040,100041,100042,100043,100044,100045,100046,100047,100048,100049,100050,100051,100052,100053,100054,100055,100056,100057,100058,100059,100060,100061,100062,100063,100064,100065,100066,100067,100068,100069,100070,100071,100072,100073,100074,100075,100076,100077,100078,100079,100080,100081,100082,100083,100084,100085,100086,100087,100088,100089,100090,100091,100092,100093,100094,100095,100096,100097,100098,100099,100100,100101,100102,100103,100104,100105,100106,100107,100108,100109,100110,100111,100112,100113,100114,100115,100116,100117,100118,100119,100120,100121,100122,100123,100124,100125,100126,100127,100128,100129,100130,100131,100132,100133,100134,100135,100136,100137,100138,100139,100140,100141,100142,100143,100144,100145,100146,100147,100148,100149,100150,100151,100152,100153,100154,100155,100156,100157,100158,100159,100160,100161,100162,100163,100164,100165,100166,100167,100168,100169,100170,100171,100172,100173,100174,100175,100176,100177,100178,100179,100180,100181,100182,100183,100184,100185,100186,100187,100188,100189,100190,100191,100192,100193,100194,100195,100196,100197,100198,100199,100200,100201,100202,100203,100204,100205,100206,100207,100208,100209,100210,100211,100212,100213,100214,100215,100216,100217,100218,100219,100220,100221,100222,100223,100224,100225,100226,100227,100228,100229,100230,100231,100232,100233,100234,100235,100236,100237,100238,100239,100240,100241,100242,100243,100244,100245,100246,100247,100248,100249,100250,100251,100252,100253,100254,100255,100256,100257,100258,100259,100260,100261,100262,100263,100264,100265,100266,100267,100268,100269,100270,100271,100272,100273,100274,100275,100276,100277,100278,100279,100280,100281,100282,100283,100284,100285,100286,100287,100288,100289,100290,100291,100292,100293,100294,100295,100296,100297,100298,100299,100300,100301,100302,100303,100304,100305,100306,100307,100308,100309,100310,100311,100312,100313,100314,100315,100316,100317,100318,100319,100320,100321,100322,100323,100324,100325,100326,100327,100328,100329,100330,100331,100332,100333,100334,100335,100336,100337,100338,100339,100340,100341,100342,100343,100344,100345,100346,100347,100348,100349,100350,100351,100352,100353,100354,100355,100356,100357,100358,100359,100360,100361,100362,100363,100364,100365,100366,100367,100368,100369,}
@attribute Frame numeric
@attribute Hours numeric
@attribute HoursBeforeFail numeric
@attribute Temp1 numeric
@attribute Temp2 numeric
@attribute Temp3 numeric
@attribute Temp4 numeric
@attribute FlyHeight1 numeric
@attribute FlyHeight2 numeric
@attribute FlyHeight3 numeric
@attribute FlyHeight4 numeric
@attribute GList1 numeric
@attribute PList numeric
@attribute Servo1 numeric
@attribute Servo2 numeric
@attribute Servo3 numeric
@attribute CSS numeric
@attribute Servo4 numeric
@attribute Servo5 numeric
@attribute Servo6 numeric
@attribute Reads numeric
@attribute Writes numeric
@attribute ReadError1 numeric
@attribute ReadError2 numeric
@attribute ReadError3 numeric
@attribute ReadError4 numeric
@attribute ReadError5 numeric
@attribute ReadError6 numeric
@attribute ReadError7 numeric
@attribute ReadError8 numeric
@attribute ReadError9 numeric
@attribute ReadError10 numeric
@attribute ReadError11 numeric
@attribute ReadError12 numeric
@attribute ReadError13 numeric
@attribute ReadError14 numeric
@attribute ReadError15 numeric
@attribute ReadError16 numeric
@attribute FlyHeight5 numeric
@attribute FlyHeight6 numeric
@attribute FlyHeight7 numeric
@attribute FlyHeight8 numeric
@attribute FlyHeight9 numeric
@attribute FlyHeight10 numeric
@attribute FlyHeight11 numeric
@attribute FlyHeight12 numeric
@attribute FlyHeight13 numeric
@attribute FlyHeight14 numeric
@attribute FlyHeight15 numeric
@attribute FlyHeight16 numeric
@attribute Temp5 numeric
@attribute Temp6 numeric
@attribute WriteError numeric
@attribute ReadError18 numeric
@attribute ReadError19 numeric
@attribute Servo7 numeric
@attribute Servo8 numeric
@attribute ReadError20 numeric
@attribute GList2 numeric
@attribute GList3 numeric
@attribute Servo9 numeric
@attribute Servo10 numeric
@attribute class {0,1}

@data

100001,0.000,0.000,2.216,10.000,0.000,0.000,10.000,7962.000,8986.000,9328.000,5679.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3019.000,2577.000,13748.000,11168.000,5667.000,4540.000,10610.000,9140.000,1.000,1.000,1.000,1.000,57005.000,57005.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
100001,1.000,0.000,2.216,12.000,0.000,0.000,12.000,7972.000,8991.000,7359.000,5338.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3020.000,2606.000,13477.000,10993.000,5668.000,4629.000,10862.000,9136.000,1.000,1.000,1.000,1.000,57005.000,57005.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
100001,2.000,0.016,2.200,11.000,0.000,10.000,11.000,7949.000,8981.000,9606.000,8886.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,524288.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,3019.000,2578.000,13845.000,11074.000,5683.000,4520.000,10795.000,9042.000,1.000,1.000,1.000,1.000,57005.000,57005.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,128.000,1
100001,6.000,0.050,2.166,9.000,0.000,0.000,11.000,7955.000,8982.000,7915.000,6442.000,0.000,0.000,0.000,4.000,0.000,1.000,0.000,0.000,0.000,1373600.000,1280008.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,3026.000,2574.000,13655.000,11060.000,5647.000,4538.000,10659.000,9252.000,1.000,1.000,1.000,1.000,57005.000,57005.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,576.000,1
100001,7.000,0.083,2.133,7.000,0.000,0.000,9.000,7964.000,8984.000,7468.000,8770.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1372460.000,1280004.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,3026.000,2572.000,13550.000,11048.000,5661.000,4488.000,11000.000,9256.000,1.000,1.000,1.000,1.000,57005.000,57005.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,576.000,1
100001,19.000,0.116,2.100,10.000,0.000,5.000,10.000,7961.000,8981.000,7973.000,5681.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,120832.000,120854.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.000,2970.000,2512.000,13559.000,10928.000,5612.000,4504.000,10557.000,9033.000,1.000,1.000,1.000,1.000,57005.000,57005.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1088.000,1
100001,20.000,0.133,2.083,10.000,0.000,0.000,10.000,7959.000,8988.000,6069.000,8245.000,0.000,0.000,0.000,1.000,0.000,4.000,0.000,28.000,0.000,120832.000,120842.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,2981.000,2531.000,13354.000,11165.000,5616.000,4520.000,10512.000,9009.000,1.000,1.000,1.000,1.000,57005.000,57005.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1088.000,1
100001,22.000,0.166,2.050,7.000,0.000,4.000,7.000,7969.000,9005.000,8038.000,6128.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,29.000,0.000,120832.000,120852.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.000,3045.000,2567.000,13553.000,11063.000,5617.000,4533.000,10379.000,9241.000,1.000,1.000,1.000,1.000,57005.000,57005.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1088.000,1
100001,23.000,0.183,2.033,7.000,0.000,0.000,7.000,7965.000,9007.000,7569.000,8612.000,0.000,0.000,0.000,3.000,0.000,5.000,0.000,30.000,0.000,120832.000,120841.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.000,3046.000,2563.000,13594.000,11120.000,5633.000,4560.000,10819.000,9132.000,1.000,1.000,1.000,1.000,57005.000,57005.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1088.000,1
